element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""404.28934""","=""0.00001""","=""404.289342""","=""0.000005""","=""288""","=""4.06e+07""",B,"=""148620.1414""","=""173347.9158""","=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2D*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,1,"=""404.4418""","=""""","=""404.441804""","=""""","=""50""","=""3.3e+05""",B,"=""93750.5978""","=""118469.0508""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",,"=""T5223""","=""L2634""",
Ar,2,"=""404.56769""","=""0.00008""","=""404.567613""","=""0.000008""","=""8""","=""1.6e+06""",C,"=""147503.1134""","=""172213.8798""","=""3s2.3p4.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,1,"=""""","=""""","=""404.596541""","=""""","=""""","=""4.1e+04""",B,"=""93750.5978""","=""118459.5975""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",,"=""T5223""","=""""",
Ar,2,"=""404.74803""","=""0.00011""","=""404.748081""","=""0.000008""","=""10""","=""""",,"=""159393.3850""","=""184093.1337""","=""3s2.3p4.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p4.(1D).3d""","=""2S""","=""1/2""",,"=""""","=""L11520""",
Ar,2,"=""405.1122""","=""0.0002""","=""405.112055""","=""0.000010""","=""5""","=""""",,"=""183914.6440""","=""208592.2016""","=""3s2.3p4.(3P).5s""","=""2P""","=""1/2""","=""3s2.3p4.(1D<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L11520""",
Ar,2,"=""405.29206""","=""0.00001""","=""405.292057""","=""0.000010""","=""178""","=""6.7e+07""",E,"=""167307.9822""","=""191974.5800""","=""3s2.3p4.(1S).4s""","=""2S""","=""1/2""","=""3s2.3p4.(1S).4p""","=""2P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""405.3540""","=""0.0008""","=""405.354732""","=""0.000007""","=""1""","=""""",,"=""158428.1087""","=""183090.8927""","=""3s2.3p4.(3P).4p""","=""4D*""","=""1/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""3/2""",,"=""""","=""L14821""",
Ar,1,"=""""","=""""","=""405.452576""","=""""","=""""","=""2.7e+04""",C+,"=""93750.5978""","=""118407.4303""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""",,"=""T5223""","=""""",
Ar,2,"=""405.7672""","=""0.0008""","=""405.767530""","=""0.000007""","=""1""","=""2.e+04""",E,"=""135601.7336""","=""160239.4280""","=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""",,"=""T926""","=""L14821""",
